rail_id	cell_line	sra_attribute.disease	sra_attribute.ethnicity	sra_attribute.disease_stage	sra.experiment_attributes	primary_site
SRR8615510	OCI-AML5	primary	Caucasian	"haematopoietic_neoplasm (acute_myeloid_leukaemia, M4)"	"age;;77|biomaterial_provider;;DSMZ:OCI-AML5|BioSampleModel;;Human|cell_line;;OCI-AML5|disease;;haematopoietic_neoplasm (acute_myeloid_leukaemia, M4)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;haematopoietic_and_lymphoid_tissue"	haematopoietic_and_lymphoid_tissue
SRR8615511	KYSE-450	primary	Asian	carcinoma (squamous_cell_carcinoma)	age;;59|biomaterial_provider;;GNF|BioSampleModel;;Human|cell_line;;KYSE-450|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;oesophagus	oesophagus
SRR8615522	MHH-NB-11	metastasis	Caucasian	neuroblastoma	age;;4|biomaterial_provider;;DSMZ:MHH-NB-11|BioSampleModel;;Human|cell_line;;MHH-NB-11|disease;;neuroblastoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;autonomic_ganglia	autonomic_ganglia
SRR8615523	MHH-CALL-3	primary	Caucasian	lymphoid_neoplasm (acute_lymphoblastic_B_cell_leukaemia)	age;;11|biomaterial_provider;;DSMZ:MHH-CALL-3|BioSampleModel;;Human|cell_line;;MHH-CALL-3|disease;;lymphoid_neoplasm (acute_lymphoblastic_B_cell_leukaemia)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue
SRR8615524	MHH-CALL-4	primary	Caucasian	lymphoid_neoplasm (acute_lymphoblastic_B_cell_leukaemia)	age;;10|biomaterial_provider;;DSMZ:MHH-CALL-4|BioSampleModel;;Human|cell_line;;MHH-CALL-4|disease;;lymphoid_neoplasm (acute_lymphoblastic_B_cell_leukaemia)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue
SRR8615525	SNU-1076	primary	Asian	carcinoma (squamous_cell_carcinoma)	age;;60|biomaterial_provider;;KCLB:SNU-1076|BioSampleModel;;Human|cell_line;;SNU-1076|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;upper_aerodigestive_tract	upper_aerodigestive_tract
SRR8615528	CAL-85-1	primary	Caucasian	carcinoma	age;;35|biomaterial_provider;;DSMZ:CAL-85-1|BioSampleModel;;Human|cell_line;;CAL-85-1|disease;;carcinoma|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;breast	breast
SRR8615529	NCI-H292	metastasis	African_american	carcinoma (mucoepidermoid_carcinoma)	age;;32|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;NCI-H292|disease;;carcinoma (mucoepidermoid_carcinoma)|disease_stage;;metastasis|ethnicity;;African_american|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;lung	lung
SRR8615530	NCI-H3122	NA	NA	NA	age;;NA|biomaterial_provider;;NA|BioSampleModel;;Human|cell_line;;NCI-H3122|disease;;NA|disease_stage;;NA|ethnicity;;NA|isolate;;cell line|sample_type;;cell culture|sex;;NA|tissue;;lung	lung
SRR8615532	CAMA-1	metastasis	Caucasian	carcinoma	age;;51|biomaterial_provider;;ATCC:CAMA-1|BioSampleModel;;Human|cell_line;;CAMA-1|disease;;carcinoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;breast	breast
SRR8615533	Calu-1	metastasis	Caucasian	carcinoma (squamous_cell_carcinoma)	age;;47|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;Calu-1|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
SRR8615535	NCI-H2405	metastasis	Caucasian	carcinoma (adenocarcinoma)	age;;47|biomaterial_provider;;NA|BioSampleModel;;Human|cell_line;;NCI-H2405|disease;;carcinoma (adenocarcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
SRR8615536	NCI-H2444	primary	Caucasian	carcinoma (non_small_cell_carcinoma)	age;;NA|biomaterial_provider;;ATCC:NCI-H2444|BioSampleModel;;Human|cell_line;;NCI-H2444|disease;;carcinoma (non_small_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
SRR8615537	NCI-H2347	primary	Caucasian	carcinoma (adenocarcinoma)	age;;54|biomaterial_provider;;ATCC:NCI-H2347|BioSampleModel;;Human|cell_line;;NCI-H2347|disease;;carcinoma (adenocarcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;lung	lung
SRR8615538	NCI-H23	primary	African_american	carcinoma (non_small_cell_carcinoma)	age;;51|biomaterial_provider;;ATCC:NCI-H23|BioSampleModel;;Human|cell_line;;NCI-H23|disease;;carcinoma (non_small_cell_carcinoma)|disease_stage;;primary|ethnicity;;African_american|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
